Unnamed: 0,user_location,id,date,text,in_reply_to_status_id,in_reply_to_user_id,retweet_original_user,retweet_original_tweet_id,hashtags,retweet_count,favorite_count,source,user_id,cleaned
0,,1517969386249854977,2022-04-23 20:51:18+00:00,"Последствия боевых действий на востоке Украины

#Украина #Ukraine #UkraineWar #RussiaUkraineWar #war #UkraineRussianWar #WARINUKRAINE https://t.co/PreRChVasW",,,,,"['Украина', 'Ukraine', 'UkraineWar', 'RussiaUkraineWar', 'war']",0,0,Twitter for Android,8.027999999732818e+17,последствия боевых действий на востоке украины украина ukraine ukrainewar russiaukrainewar war ukrainerussianwar warinukraine
1,,1517969260949250048,2022-04-23 20:50:48+00:00,"@TheresiaCrone #climatecrisis and #RussiaUkraineWar both demand a #renewableenergy revolution ! - - - - in this context, not to forget: agro-photovoltaics: good against #climatecrisis + #energydependency + unemployment; and brings even higher #harvest results in many cases (cf. Fraunhofer ISE)",1.517892267335463e+18,1.1931103665339023e+18,,,"['climatecrisis', 'RussiaUkraineWar', 'renewableenergy']",0,0,Twitter Web App,1009678916.0,theresiacrone climatecrisis and russiaukrainewar both demand renewableenergy revolution this context not to forget agro-photovoltaics good against climatecrisis energydependency unemployment and brings even higher harvest results many cases cf fraunhofer ise
2,Italia,1517968508813991936,2022-04-23 20:47:49+00:00,"#Russia 🇷🇺 / #Ukraine 🇺🇦

❗❗Explosions reported in Mykolaiv

#UkraineRussianWar
#RussiaUkraineWar 
#UkraineRussiaWar",,,,,"['Russia', 'Ukraine', 'UkraineRussianWar', 'RussiaUkraineWar', 'UkraineRussiaWar']",0,0,Twitter for Android,9.85264069816062e+17,russia 🇷🇺 ukraine 🇺🇦 ❗❗explosions reported mykolaiv ukrainerussianwar russiaukrainewar ukrainerussiawar
3,,1517967820105170944,2022-04-23 20:45:05+00:00,"#Turkey closes airspace to Russian military aircraft to #Syria: FM Çavuşoğlu 

#Russia #Ukraine #RussiaUkraineWar #NATO #geopolitics #geostrategy

https://t.co/kiuXqOJpA0",,,,,"['Turkey', 'Syria', 'Russia', 'Ukraine', 'RussiaUkraineWar']",1,1,Twitter Web App,132683168.0,turkey closes airspace to russian military aircraft to syria fm çavuşoğlu russia ukraine russiaukrainewar nato geopolitics geostrategy
4,,1517967450721112064,2022-04-23 20:43:37+00:00,#NaziRussia #Nazi #NaziRussianArmy #WarCrimes #WarCrimesofRussia #genocide #GenocideOfUkrainians #RussiaUkraineWar #War #Ukraine https://t.co/WWfLVxjEjV,,,,,"['NaziRussia', 'Nazi', 'NaziRussianArmy', 'WarCrimes', 'WarCrimesofRussia', 'genocide', 'GenocideOfUkrainians', 'RussiaUkraineWar']",0,0,Twitter for Android,1.49869079270101e+18,nazirussia nazi nazirussianarmy warcrimes warcrimesofrussia genocide genocideofukrainians russiaukrainewar war ukraine
5,"Moscow 🆉 55.77174400703612, 3",1517967158143328259,2022-04-23 20:42:27+00:00,"🔥Fuoco di copertura 🔥
per lo spostamento delle colonne dell'esercito delle forze armate Russe.Part 2️⃣
🆉 #Zperlavittoria ✊🇷🇺🆉 #Zaporozhye 
#Donbas #putin #Kharkiv #ZelenskyWarCriminal  #putin #Odessa #kiev #Ucraina #RussianUkrainianWar #RussiaUkraineWar #Donbas #Ukraine️ https://t.co/QRuFuyWNfK",,,,,,0,0,Twitter Web App,1.5056662693071462e+18,🔥fuoco copertura 🔥 spostamento colonne dell'esercito forze armate russe.part 2️⃣ 🆉 zperlavittoria ✊🇷🇺🆉 zaporozhye donbas putin kharkiv zelenskywarcriminal putin odessa kiev ucraina russianukrainianwar russiaukrainewar donbas ukraine️
6,"Moscow 🆉 55.77174400703612, 3",1517967069207306240,2022-04-23 20:42:06+00:00,"🔥Fuoco di copertura 🔥
per lo spostamento delle colonne dell'esercito delle forze armate Russe.Part 1️⃣
🆉 #Zperlavittoria ✊🇷🇺🆉 #Zaporozhye 
#Donbas #putin #Kharkiv #ZelenskyWarCriminal  #putin #Odessa #kiev #Ucraina #RussianUkrainianWar #RussiaUkraineWar #Donbas #Ukraine️ https://t.co/ow89AZOZzh",,,,,,0,0,Twitter Web App,1.5056662693071462e+18,🔥fuoco copertura 🔥 spostamento colonne dell'esercito forze armate russe.part 1️⃣ 🆉 zperlavittoria ✊🇷🇺🆉 zaporozhye donbas putin kharkiv zelenskywarcriminal putin odessa kiev ucraina russianukrainianwar russiaukrainewar donbas ukraine️
7,,1517966930220621825,2022-04-23 20:41:33+00:00,#NaziRussia #Nazi #NaziRussianArmy #WarCrimes #WarCrimesofRussia #genocide #GenocideOfUkrainians #RussiaUkraineWar #War #Ukraine https://t.co/BYUMcwFg9x,,,,,"['NaziRussia', 'Nazi', 'NaziRussianArmy', 'WarCrimes', 'WarCrimesofRussia', 'genocide', 'GenocideOfUkrainians', 'RussiaUkraineWar']",0,0,Twitter for Android,1.49869079270101e+18,nazirussia nazi nazirussianarmy warcrimes warcrimesofrussia genocide genocideofukrainians russiaukrainewar war ukraine
8,"Moscow 🆉 55.77174400703612, 3",1517966595213168640,2022-04-23 20:40:13+00:00,"🆉 #Zperlavittoria ✊🇷🇺🆉 #Zaporozhye 
#Donbas #putin #Kharkiv #ZelenskyWarCriminal  #putin #Odessa #kiev #Ucraina #RussianUkrainianWar #RussiaUkraineWar #Donbas #Ukraine️ https://t.co/dAnizV5RpQ",,,,,"['Zperlavittoria', 'Zaporozhye', 'Donbas', 'putin', 'Kharkiv', 'ZelenskyWarCriminal', 'putin', 'Odessa', 'kiev', 'Ucraina']",0,0,Twitter Web App,1.5056662693071462e+18,🆉 zperlavittoria ✊🇷🇺🆉 zaporozhye donbas putin kharkiv zelenskywarcriminal putin odessa kiev ucraina russianukrainianwar russiaukrainewar donbas ukraine️
9,"Gdańsk, Polska",1517966203318415360,2022-04-23 20:38:39+00:00,#Scholz #RussiaUkraineWar https://t.co/c0l0ZQIJG3,,,,,"['Scholz', 'RussiaUkraineWar']",0,0,Twitter Web App,2777640456.0,scholz russiaukrainewar
10,,1517965670264287233,2022-04-23 20:36:32+00:00,"#ZelenskyWarCriminal #UkraineRussia #RussiaUkraineWar #Ucraina #GuerraRusiaUcrania Oggi a Gerusalemme, in occasione della festa del Santo Fuoco, è stata issata la bandiera russa https://t.co/3AWGZ7c60r",,,,,"['ZelenskyWarCriminal', 'UkraineRussia', 'RussiaUkraineWar', 'Ucraina', 'GuerraRusiaUcrania']",0,0,Twitter for Android,2491689563.0,zelenskywarcriminal ukrainerussia russiaukrainewar ucraina guerrarusiaucrania oggi gerusalemme occasione festa santo fuoco stata issata bandiera russa
11,Islamabad,1517965601427361793,2022-04-23 20:36:16+00:00,"#Exclusive 

@ZelenskyyUa threatens to quit talks if #Russia holds ‘pseudo-referendums’   
#pakustv #NYC #Politics #RussiaUkraineWar #MariupolGenocide #peacetalks #BattleOfDonbas2022 
https://t.co/SwKcaxHnLP",,,,,"['Exclusive', 'Russia', 'pakustv', 'NYC', 'Politics']",0,0,Twitter Web App,942797970.0,exclusive zelenskyyua threatens to quit talks if russia holds ‘ pseudo-referendums ’ pakustv nyc politics russiaukrainewar mariupolgenocide peacetalks battleofdonbas2022
